"sexo";"idade";"hora"
"mulher";62;15
"mulher";64;15
"mulher";53;13
"homem";62;14
"mulher";35;15
"homem";44;14
"mulher";72;15
"mulher";65;15
"mulher";64;15
"mulher";79;14
"mulher";55;15
"mulher";60;14
"mulher";61;14
"mulher";67;17
"mulher";26;15
"mulher";61;14
"mulher";53;15
"mulher";74;14
"mulher";57;14
"mulher";63;13
"mulher";48;15
"mulher";68;13
"mulher";67;13
"mulher";61;14
"homem";24;13
"mulher";74;15
"mulher";48;15
"mulher";44;14
"mulher";52;15
"mulher";67;15
"mulher";33;7
"mulher";67;15
"mulher";61;13
"mulher";72;13
"mulher";68;14
"homem";60;14
"mulher";56;14
"mulher";50;14
"mulher";41;13
"mulher";58;8
"mulher";63;14
"mulher";53;14
"mulher";45;15
"mulher";67;15
"mulher";63;14
"mulher";61;15
"mulher";77;14
"mulher";43;14
"mulher";66;14
"mulher";31;14
"mulher";67;15
"mulher";63;15
"mulher";51;17
"mulher";68;13
"mulher";61;13
"mulher";78;13
"mulher";54;15
"homem";46;14
"mulher";51;13
"mulher";69;15
"mulher";54;13
"mulher";63;13
"mulher";79;14
"mulher";68;12
"mulher";71;13
"mulher";69;13
"mulher";47;15
"mulher";63;13
"mulher";64;14
"mulher";63;15
"mulher";66;15
"homem";61;12
"mulher";74;15
"mulher";76;14
"mulher";33;14
"mulher";60;14
"mulher";74;13
"mulher";63;11
"mulher";68;15
"homem";64;14
"mulher";32;14
"mulher";74;17
"mulher";68;15
"mulher";60;15
"mulher";45;14
"mulher";61;14
"mulher";65;16
"mulher";55;13
"mulher";69;15
"mulher";62;15
"mulher";50;15
"mulher";64;17
"mulher";47;14
"mulher";54;10
"mulher";66;13
"mulher";45;15
"mulher";68;16
"mulher";55;13
"homem";57;7
"homem";65;15
"mulher";44;12
"mulher";31;8
"mulher";33;12
"mulher";75;12
"mulher";46;8
"mulher";55;14
"mulher";44;14
"mulher";65;15
"mulher";42;14
"mulher";66;14
"homem";66;13
"homem";62;14
"homem";46;15
"mulher";66;13
"mulher";62;15
"mulher";25;15
"homem";66;10
"mulher";78;14
"mulher";58;15
"mulher";42;15
"mulher";26;15
"mulher";77;16
"mulher";38;15
"mulher";74;14
"mulher";45;13
"mulher";65;14
"mulher";63;13
"mulher";52;12
"mulher";56;14
"mulher";30;15
"mulher";53;14
"mulher";41;15
"mulher";68;17
"mulher";57;15
"mulher";68;14
"mulher";55;15
"mulher";76;15
"mulher";60;17
"mulher";55;14
"mulher";62;14
"mulher";52;15
"mulher";69;15
"mulher";62;13
"mulher";33;13
"mulher";52;15
"mulher";28;15
"mulher";68;18
"mulher";69;15
"mulher";53;15
"mulher";51;15
"mulher";47;13
"mulher";58;14
"mulher";55;15
"mulher";67;15
"mulher";65;8
"mulher";75;13
"mulher";76;14
"mulher";27;15
"mulher";67;13
"mulher";63;13
"mulher";63;13
"mulher";68;12
"mulher";41;13
"mulher";53;15
"mulher";65;13
"mulher";65;15
"mulher";66;8
"homem";78;11
"mulher";66;17
"homem";53;15
"mulher";28;13
"mulher";55;14
"mulher";63;10
"mulher";24;17
"mulher";65;13
"mulher";52;12
"mulher";56;13
"mulher";42;14
"mulher";38;16
"homem";64;15
"mulher";60;13
"homem";65;15
"mulher";62;12
"mulher";77;13
"mulher";62;14
"mulher";63;16
"mulher";33;13
"mulher";43;17
"mulher";65;14
"homem";48;13
"mulher";64;15
"mulher";24;15
"mulher";64;8
"mulher";46;7
"mulher";67;15
"mulher";45;13
"mulher";31;14
"mulher";42;7
"mulher";74;18
"mulher";60;14
"mulher";36;14
"homem";32;14
"mulher";41;16
"mulher";34;18
"mulher";60;15
"homem";35;17
"mulher";76;14
"mulher";67;13
"mulher";39;14
"mulher";69;15
"homem";78;15
"mulher";78;15
"mulher";67;14
"mulher";56;13
"mulher";33;15
"mulher";54;14
"mulher";54;12
"mulher";42;12
"mulher";64;14
"mulher";74;13
"homem";43;14
"mulher";61;15
"homem";58;15
"mulher";54;15
"homem";56;13
"mulher";22;10
"mulher";67;15
"homem";57;13
"mulher";62;15
"homem";63;7
"homem";51;10
"mulher";60;13
"mulher";64;12
"mulher";62;14
"mulher";73;13
"mulher";77;13
"mulher";35;15
"mulher";52;13
"mulher";72;12
"mulher";62;15
"mulher";51;13
"mulher";63;17
"mulher";67;14
"mulher";68;15
"mulher";67;12
"mulher";33;14
"mulher";69;16
"mulher";55;13
"mulher";63;14
"mulher";58;14
"mulher";75;8
"homem";62;13
"homem";76;17
"mulher";68;14
"mulher";49;16
"mulher";79;15
"mulher";42;14
"mulher";74;13
"mulher";51;14
"mulher";61;15
